	Authors	Title	Citation	DOI	Year	Month	0	1	2	3	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	"SUM 
Completed"	URL	Home Site	Lab Size	Pub Rate	Other Journals	First Author Affiliation	First Author Career Duration	First Author Degree	First Author Degree Area	world_rank_x	country_x	national_rank	quality_of_education	alumni_employment	quality_of_faculty	publications	influence	citations_x	broad_impact	patents	score	year_x	world_rank_y	country_y	teaching	international	research	citations_y	income	total_score	num_students	student_staff_ratio	international_students	female_male_ratio	year_y	city_ascii	state_id	state_name	county_fips	county_name	lat	lng	population	density	source	military	incorporated	timezone	ranking	zips	county	labor_force	employed	unemployed	rate	(Grover) Falsified Media	Falsified Media (Manually labeled)
10	Yan Zhang, Lei Shan, Yaping Hua, Dan Wang, Huawu Zeng, Runhui Liu, Weidong Zhang, Zhenlin Hu	Baicalein Selectively Induces Apoptosis in Activated Lymphocytes and Ameliorates Concanavalin A-Induced Hepatitis in Mice	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69592	10.1371/journal.pone.0069592	2013	7.0			1.0		two sets of duplicated facs panels but different percentages gated points	1	1/26/15		1.0		1	http://doi.org/10.1371/journal.pone.0069592	PLOS	24	[nan, nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], [], []]	Second Military Medical University	6.0			776.0	China	44.0	367.0	567.0	218.0	579.0	664.0	645.0	754.0	395.0	44.27	2015.0																																		0.64623165	0
11	Zhongpu Chen, Xiaodong Pan, Yuyu Yao, Fengdi Yan, Long Chen, Rong Huang, Genshan Ma	Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69134, doi:10.1371/journal.pone.0069134	10.1371/journal.pone.0069134	2013	7.0			1.0		overlapping microscopy images	1	7/23/14		1.0		1	http://doi.org/10.1371/journal.pone.0069134	PLOS	21	[nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], []]	Medical School of Southeast University	4.0																																																	0.7445636	0
12	Akrem Abdulsid, Alexander Fletcher, Fiona Lyall	Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor	PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71127	10.1371/journal.pone.0071127	2013	8.0				1.0	reuse of 2 bands multiple times to create blot panel	1		1.0			1	http://doi.org/10.1371/journal.pone.0071127	PLOS	9	[nan, nan, nan]	[[], [], []]	University of Glasgow	5.0	PhD	Medical Genetics Section	128.0	United Kingdom	9.0	234.0	89.0	218.0	123.0	144.0	82.0	87.0	402.0	49.45	2015.0	94	United Kingdom	37.0	78.8	40.5	83.7	39.9	55.3	22,616	16.0	29%	57:43:00	2015.0																					0.7144132	0
13	Fang Liu, A. Jesse Gore, Julie L. Wilson, Murray Korc	DUSP1 Is a Novel Target for Enhancing Pancreatic Cancer Cell Sensitivity to Gemcitabine	PLOS ONE, January 2014 | Volume 9 | Issue 1 | e84982	10.1371/journal.pone.0084982	2014	1.0			1.0		duplicated, and mirrored blots	1	9/15/14		1.0		1	http://doi.org/10.1371/journal.pone.0084982	PLOS	12	[nan, nan, nan, nan]	[[], [], [], []]	Institute for High Energy Physics	1.0																																																	0.6504491	0
14	Jagannath Misra, Dipanjan Chanda, Don-Kyu Kim, Seung-Rye Cho, Seung-Hoi Koo, Chul- Ho Lee, Sung Hoon Back, Hueng-Sik Choi	Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH	PLOS One, January 2014 | Volume 9 | Issue 1 | e86342	10.1371/journal.pone.0086342	2014	1.0		1.0			duplicated (negative) western blot	1	5/6/15		1.0		1	http://doi.org/10.1371/journal.pone.0086342	PLOS	21	[nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], []]	Chonnam National University	6.0		School of Biological Sciences and Technology	384.0	South Korea	10.0	367.0	547.0	218.0	405.0	589.0	511.0	437.0	109.0	45.27	2015.0																																		0.79881835	0
15	Trent Fowler, Payel Ghatak, David H. Price, Ronald Conaway, Joan Conaway, Cheng-Ming Chiang, James E. Bradner, Ali Shilatifard, Ananda L. Roy	Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells	PLOS One, January 2014 | Volume 9 | Issue 1 | e87003	10.1371/journal.pone.0087003	2014	1.0			1.0		duplicated, and stretched blot	1	4/22/15		1.0		1	http://doi.org/10.1371/journal.pone.0087003	PLOS	27	[nan, nan, nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], [], [], []]	University of Utah			Huntsman Cancer Institute	70.0	USA	44.0	97.0	105.0	67.0	97.0	65.0	101.0	90.0	19.0	52.89	2015.0	162	United States of America	38.8	27.5	36.5	75.0	58.1	48.6	25,674	16.9	9%	45:55:00	2015.0	Salt Lake City	UT	Utah	49035.0	Salt Lake	40.7777	-111.9306	1098526.0	699.0	polygon	False	True	America/Denver	1.0	84116 84115 84113 84112 84111 84144 84128 84180 84108 84101 84102 84103 84104 84105 84106 84110 84114 84122 84132 84133 84134 84138 84139 84143 84145 84147 84148 84150 84151 84152 84158 84199	saltlake	642,357	609,766	32,591	5.1	0.45183578	0
16	Mojca Jez, Sakthikumar Ambady, Olga Kashpur, Alexandra Grella, Christopher Malcuit, Lucy Vilner, Primoz Rozman, Tanja Dominko	Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells	PLOS One, February 2014 | Volume 9 | Issue 2 | e89546	10.1371/journal.pone.0089546	2014	2.0	1.0		1.0		Duplicated, and shifted GAPDH gel panel	1	7/28/14		1.0		1	http://doi.org/10.1371/journal.pone.0089546	PLOS	24	[nan, nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], [], []]	Blood Transfusion Centre of Slovenia	10.0	PhD	Center for immunohematology																																															0.6461549	0
17	Zhenni Zhang, Jianrui Lv, Xiaoming Lei, Siyuan Li, Yong Zhang, Lihua Meng, Rongliang Xue, Zongfang Li	Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway	PLOS One, February 2014 | Volume 9 | Issue 2 | e90318	10.1371/journal.pone.0090318	2014	2.0			1.0		Mirrored blot panels representing different proteins	1	7/25/16	1.0			1	http://doi.org/10.1371/journal.pone.0090318	PLOS	24	[nan, nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], [], []]	Xi'an Jiaotong-Liverpool University			School of Film and Television Arts																																															0.53622895	0
18	Christophe Broca,  Elodie Varin, Mathieu Armanet, CÃÂcile Tourrel-Cuzin, Domenico Bosco,  StÃÂphane Dalle, Anne Wojtusciszyn	Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets	PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92066	10.1371/journal.pone.0092066	2014	3.0			1.0		duplicated/reused actin blot panels	1	7/7/14		1.0		1	http://doi.org/10.1371/journal.pone.0092066	PLOS	21	[nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], []]	CHU ST-Eloi	24.0		Institut de Recherche en Biotherapie - LTCD																																															0.6735356	0
19	Sylwia Flis, Agnieszka Gnyszka, Krzysztof Flis	DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells	PLOS One, March 2014 | Volume 9 | Issue 3 | e92305	10.1371/journal.pone.0092305	2014	3.0			1.0		Duplicated lanes within different panels - but representing same conditions	1	8/18/14		1.0		1	http://doi.org/10.1371/journal.pone.0092305	PLOS	9	[nan, nan, nan]	[[], [], []]	National Medicines Institute	18.0	PhD	Dpartment of Pharmacology																																															0.4248536	0
20	Takaharu Nakayoshi, Ken-ichiro Sasaki, Hidemi Kajimoto, Hiroshi Koiwaya, Masanori Ohtsuka, Takafumi Ueno, Hidetoshi Chibana, Naoki Itaya, Masahiro Sasaki, Shinji Yokoyama, Yoshihiro Fukumoto, Tsutomu Imaizumi	FOXO4-Knockdown Suppresses Oxidative Stress-Induced Apoptosis of Early Pro-Angiogenic Cells and Augments Their Neovascularization Capacities in Ischemic Limbs	PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92626	10.1371/journal.pone.0092626	2014	3.0			1.0		Mirrored microscopy image	1	4/27/15		1.0		1	http://doi.org/10.1371/journal.pone.0092626	PLOS	48	[nan, nan, nan, 0.41379310344827586, nan, nan, nan, nan, nan, nan, nan, nan]	[[], [], [], ['Bioscience Biotechnology and Biochemistry ', 'The FASEB Journal ', 'Journal of Nutritional Science and Vitaminology ', 'Immunology Letters ', 'Molecular and Cellular Endocrinology ', 'Research Faculty of AgricultureGraduate School of AgricultureDivision of Applied Bioscience'], [], [], [], [], [], [], [], []]	Kurume University	18.0		Department of Internal Medicine	771.0	Japan	54.0	367.0	567.0	218.0	986.0	770.0	812.0	699.0	473.0	44.27	2015.0																																		0.7691499	0
21	Yuri Churin, Martin Roderfeld, Johannes Stiefel, Tilman Wu r_ ger, Dirk Schro __ er, Tomomitsu Matono, Hans-Joachim Mollenkopf, Roberta Montalbano, Malvika Pompaiah, Kurt Reifenberg5, Daniel Zahner, Matthias Ocker, Wolfram Gerlich, Dieter Glebe, Elke Roeb	Pathological Impact of Hepatitis B Virus Surface Proteins on the Liver Is Associated with the Host Genetic Background	PLOS One, March 2014 | Volume 9 | Issue 3 | e90608	10.1371/journal.pone.0090608	2014	3.0	1.0	1.0			Duplicated actin blot panel but different experiments, cuts in panels	1	5/1/15		1.0		1	http://doi.org/10.1371/journal.pone.0090608	PLOS	52	[nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.6071428571428571, nan, nan, nan]	[[], [], [], [], [], [], [], [], [], [], [], [], []]	Justus Liebig University Giessen	12.0	Doctor of Philosophy	Institut fÃ¼r TierÃ¤rztliche Nahrungsmittelkunde																																															0.71411073	0
22	Chuan Li, Cheng Wang, Lingxue Meng, Jiewen Xing, Tianya Wang, Hua Yang, Yingyin Yao, Huiru Peng, Zhaorong Hu, Qixin Sun, Zhongfu Ni	Ectopic Expression of a Maize Hybrid Down-Regulated Gene ZmARF25 Decreases Organ Size by Affecting Cellular Proliferation in Arabidopsis	PLOS One, April 2014 | Volume 9 | Issue 4 | e94830	10.1371/journal.pone.0094830	2014	4.0				1.0	Manipulated plant images, duplication of seeds, manipulated leaves	1	5/12/16	1.0			1	http://doi.org/10.1371/journal.pone.0094830	PLOS	40	[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], [], [], [], []]	Chongqing Technology and Business University	7.0	Doctor of Engineering	Department of Science and Technology																																															0.7181548	0
23	Gail Doughton, Jun Wei, Nicolas Tapon, Melanie J. Welham, Andrew D. Chalmers	Formation of a Polarised Primitive Endoderm Layer in Embryoid Bodies Requires Fgfr/ Erk Signalling	PLOS One, April 2014 | Volume 9 | Issue 4 | e95434	10.1371/journal.pone.0095434	2014	4.0			1.0		Duplicated compressed blots, overlapping microscopy	1			1.0		1	http://doi.org/10.1371/journal.pone.0095434	PLOS	15	[nan, nan, nan, nan, nan]	[[], [], [], [], []]	Cambridge University Hospitals NHS Foundation Trust	3.0																																																	0.64737487	0
24	Liliana O. Rocha, Sabina Moser Tralamazza, Gabriela M. Reis, Leon Rabinovitch, Cynara B. Barbosa, Benedito Corre_a	Multi-Method Approach for Characterizing the Interaction between Fusarium verticillioides and Bacillus thuringiensis Subsp. Kurstaki	PLOS One, April 2014 | Volume 9 | Issue 4 | e92189	10.1371/journal.pone.0092189	2014	4.0		1.0			Duplicated FACS panels	1	8/12/14		1.0		1	http://doi.org/10.1371/journal.pone.0092189	PLOS	15	[nan, nan, nan, nan, nan]	[[], [], [], [], []]	University of Campinas	11.0	PhD in Microbiology	Departamento de CiÃªncia de Alimentos (DCA)	404.0	Brazil	3.0	367.0	567.0	218.0	295.0	575.0	511.0	388.0	197.0	45.14	2015.0																																		0.6584232	0
25	Prabuddha Dey, Monami Chakraborty, Maulik R. Kamdar, Mrinal K. Maiti	Functional Characterization of Two Structurally Novel Diacylglycerol Acyltransferase2 Isozymes Responsible for the Enhanced Production of Stearate-Rich Storage Lipid in Candida tropicalis SY005	PLOS One, 14 April 2014 | Volume 9 | Issue 4 | e94472	10.1371/journal.pone.0094472	2014	4.0				1.0	Duplicated cells within microscopy panels, multiple cases, duplicated blots	1		1.0			1	http://doi.org/10.1371/journal.pone.0094472	PLOS	12	[nan, 0.3333333333333333, nan, nan]	[[], [], [], []]	Rutgers, The State University of New Jersey	4.0		Department of Food Science	723.0	USA	201.0	367.0	567.0	218.0	832.0	515.0	645.0	637.0	871.0	44.33	2015.0																																		0.7565198	0
26	Xiaomei Ge, Yafei Zhang, Sungwon Park, Xiaofei Cong, David E. Gerrard, Honglin Jiang	Stac3 Inhibits Myoblast Differentiation into Myotubes	PLOS One, April 2014 | Volume 9 | Issue 4 | e95926	10.1371/journal.pone.0095926	2014	4.0		1.0			Duplicated microscopy images	1	8/7/14		1.0		1	http://doi.org/10.1371/journal.pone.0095926	PLOS	18	[nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], []]	Virginia Polytechnic Institute and State University	5.0		Department of Animal & Poultry Sciences	256.0	USA	98.0	283.0	152.0	218.0	201.0	264.0	234.0	285.0	181.0	46.46	2015.0	276-300	United States of America	40.1	28.9	40.0	40.7	42.6	-	30,850	18.6	10%	42:58:00	2015.0	Blacksburg	VA	Virginia	51121.0	Montgomery	37.23	-80.4279	91888.0	865.0	polygon	False	True	America/New_York	3.0	24060 24061 24062 24063 24111	montgomery	107,103	98,735	8,368	7.8	0.5810843	0
27	Xudong Shi, Daniel DiRenzo, Lian-Wang Guo, Sarah R. Franco, Bowen Wang, Stephen Seedial, K. Craig Kent	TGF-b/Smad3 Stimulates Stem Cell/Developmental Gene Expression and Vascular Smooth Muscle Cell De-Differentiation	PLOS One, April 2014 | Volume 9 | Issue 4 | e93995	10.1371/journal.pone.0093995	2014	4.0		1.0			Duplicated blot panels	1	7/22/14		1.0		1	http://doi.org/10.1371/journal.pone.0093995	PLOS	21	[nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], []]	University of Wisconsin-Madison	21.0	MD	Department of Surgery, Cardiovascular Center	25.0	USA	18.0	29.0	29.0	34.0	21.0	24.0	22.0	27.0	27.0	64.51	2015.0														Madison	WI	Wisconsin	55025.0	Dane	43.0826	-89.3931	447245.0	1263.0	polygon	False	True	America/Chicago	2.0	53706 53704 53705 53703 53726 53792 53719 53718 53715 53714 53717 53716 53711 53713 53701 53707 53708 53725 53774 53777 53782 53783 53784 53785 53786 53788 53790 53793 53794	dane	319,433	304,154	15,279	4.8	0.7830195	0
28	Yushen Jiang, Tang Jiang, Juan Ouyang, Qingsong Zhou, Yanlan Liang, Yingpeng Cui, Peisong Chen, Bin Huang	Cell Atavistic Transition: Paired Box 2 Re-Expression Occurs in Mature Tubular Epithelial Cells during Acute Kidney Injury and Is Regulated by Angiotensin II	PLOS One, April 2014 | Volume 9 | Issue 4 | e93563	10.1371/journal.pone.0093563	2014	4.0		1.0			Duplicated gel panels	1	5/6/15		1.0		1	http://doi.org/10.1371/journal.pone.0093563	PLOS	24	[nan, nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], [], []]	Harvard Medical School		PhD	Department of Surgery																											Boston	MA	Massachusetts	25025.0	Suffolk	42.3188	-71.0846	4688346.0	5532.0	polygon	False	True	America/New_York	1.0	02120 02121 02122 02124 02125 02126 02127 02128 02129 02467 02210 02215 02119 02118 02111 02110 02113 02115 02114 02116 02199 02134 02136 02135 02132 02131 02130 02203 02163 02152 02108 02109 02112 02117 02123 02133 02137 02196 02201 02205 02206 02211 02212 02217 02222 02241 02283 02284 02293 02297 02298	suffolk	446,558	403,388	43,170	9.7	0.6819156	0
